symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,9142,45.71,0.9849999999999994,0.7100000000000009,0.2749999999999986,0.06499999999999773,0.43063156633243893,0.1017856429513007,0.4424973028538586,15.228426395939096
N,,9322,46.61,0.8999999999999986,0.9849999999999994,-0.08500000000000085,0.2749999999999986,-0.13310430232093767,0.43063156633243893,0.45073307091700443,16.666666666666693
N,,9453,47.265,0.6550000000000011,0.8999999999999986,-0.24499999999999744,-0.08500000000000085,-0.383653577277989,-0.13310430232093767,0.4060872106512854,22.900763358778587
N,,9614,48.07,0.8049999999999997,0.6550000000000011,0.14999999999999858,-0.24499999999999744,0.2348899452722384,-0.383653577277989,0.4498481452092395,18.633540372670815
N,,9799,48.995,0.9249999999999972,0.8049999999999997,0.11999999999999744,0.14999999999999858,0.1879119562177885,0.2348899452722384,0.3008059003403876,16.216216216216267
N,,9967,49.835,0.8400000000000034,0.9249999999999972,-0.08499999999999375,0.11999999999999744,-0.13310430232092657,0.1879119562177885,0.23027735143938208,17.857142857142783
N,,10138,50.69,0.8549999999999969,0.8400000000000034,0.014999999999993463,-0.08499999999999375,0.023488994527213824,-0.13310430232092657,0.1351609712906803,17.543859649122872
N,,10333,51.665,0.9750000000000014,0.8549999999999969,0.12000000000000455,0.014999999999993463,0.1879119562177996,0.023488994527213824,0.1893743281268602,15.384615384615362
N,,10463,52.315,0.6499999999999986,0.9750000000000014,-0.32500000000000284,0.12000000000000455,-0.5089282147565258,0.1879119562177996,0.5425115953275697,23.076923076923126
N,,10578,52.89,0.5750000000000028,0.6499999999999986,-0.07499999999999574,-0.32500000000000284,-0.11744497263611363,-0.5089282147565258,0.5223037903105452,26.086956521739
N,,10767,53.835,0.9450000000000003,0.5750000000000028,0.36999999999999744,-0.07499999999999574,0.5793951983381895,-0.11744497263611363,0.5911785833864818,15.873015873015868
N,,10947,54.735,0.8999999999999986,0.9450000000000003,-0.045000000000001705,0.36999999999999744,-0.07046698358167486,0.5793951983381895,0.5836646225637202,16.666666666666693
N,,11109,55.545,0.8100000000000023,0.8999999999999986,-0.0899999999999963,-0.045000000000001705,-0.14093396716333859,-0.07046698358167486,0.15756896545797663,18.518518518518466
N,,11220,56.1,0.5549999999999997,0.8100000000000023,-0.25500000000000256,-0.0899999999999963,-0.3993129069628131,-0.14093396716333859,0.4234538708849988,27.027027027027042
N,,11381,56.905,0.8049999999999997,0.5549999999999997,0.25,-0.25500000000000256,0.39148324212040103,-0.3993129069628131,0.5592047268471474,18.633540372670815
N,,11511,57.555,0.6499999999999986,0.8049999999999997,-0.15500000000000114,0.25,-0.24271961011465043,0.39148324212040103,0.46062125221846684,23.076923076923126
N,,11674,58.37,0.8149999999999977,0.6499999999999986,0.16499999999999915,-0.15500000000000114,0.25837893979946336,-0.24271961011465043,0.3545031532526934,18.404907975460173
N,,11792,58.96,0.5900000000000034,0.8149999999999977,-0.22499999999999432,0.16499999999999915,-0.35233491790835203,0.25837893979946336,0.4369205544597094,25.423728813559176
N,,11908,59.54,0.5799999999999983,0.5900000000000034,-0.010000000000005116,-0.22499999999999432,-0.01565932968482405,-0.35233491790835203,0.3526827313374773,25.862068965517317
N,,12014,60.07,0.5300000000000011,0.5799999999999983,-0.04999999999999716,-0.010000000000005116,-0.07829664842407576,-0.01565932968482405,0.07984722763265696,28.30188679245277
N,,12130,60.65,0.5799999999999983,0.5300000000000011,0.04999999999999716,-0.04999999999999716,0.07829664842407576,-0.07829664842407576,0.11072818208968596,25.862068965517317
N,,12259,61.295,0.6450000000000031,0.5799999999999983,0.06500000000000483,0.04999999999999716,0.10178564295131183,0.07829664842407576,0.12841605143226942,23.25581395348826
N,,12353,61.765,0.46999999999999886,0.6450000000000031,-0.17500000000000426,0.06500000000000483,-0.2740382694842874,0.10178564295131183,0.29233078909508464,31.914893617021352
N,,12452,62.26,0.49499999999999744,0.46999999999999886,0.02499999999999858,-0.17500000000000426,0.03914832421203788,-0.2740382694842874,0.27682045522423687,30.30303030303046
N,,12556,62.78,0.5200000000000031,0.49499999999999744,0.025000000000005684,0.02499999999999858,0.039148324212049,0.03914832421203788,0.05536409104485084,28.846153846153673
N,,12681,63.405,0.625,0.5200000000000031,0.10499999999999687,0.025000000000005684,0.16442296169056353,0.039148324212049,0.16901923446669678,24.0
N,,12806,64.03,0.625,0.625,0.0,0.10499999999999687,0.0,0.16442296169056353,0.16442296169056353,24.0
N,,12984,64.92,0.8900000000000006,0.625,0.26500000000000057,0.0,0.414972236647626,0.0,0.414972236647626,16.853932584269653
N,,13106,65.53,0.6099999999999994,0.8900000000000006,-0.28000000000000114,0.26500000000000057,-0.4384612311748509,0.414972236647626,0.6036971164679349,24.590163934426254
N,,13234,66.17,0.6400000000000006,0.6099999999999994,0.030000000000001137,-0.28000000000000114,0.0469779890544499,-0.4384612311748509,0.44097072771213064,23.43749999999998
N,,13341,66.705,0.5349999999999966,0.6400000000000006,-0.10500000000000398,0.030000000000001137,-0.16442296169057466,0.0469779890544499,0.17100246134690633,28.037383177570273
N,,13439,67.195,0.4899999999999949,0.5349999999999966,-0.045000000000001705,-0.10500000000000398,-0.07046698358167486,-0.16442296169057466,0.1788868528042243,30.612244897959503
N,,13544,67.72,0.5250000000000057,0.4899999999999949,0.0350000000000108,-0.045000000000001705,0.05480765389687306,-0.07046698358167486,0.0892719144007759,28.57142857142826
N,,13649,68.245,0.5250000000000057,0.5250000000000057,0.0,0.0350000000000108,0.0,0.05480765389687306,0.05480765389687306,28.57142857142826
N,,13770,68.85,0.6049999999999898,0.5250000000000057,0.07999999999998408,0.0,0.1252746374785034,0.0,0.1252746374785034,24.793388429752486
N,,13899,69.495,0.6450000000000102,0.6049999999999898,0.040000000000020464,0.07999999999998408,0.0626373187392962,0.1252746374785034,0.14006130262930813,23.255813953488005
N,,14005,70.025,0.5300000000000011,0.6450000000000102,-0.1150000000000091,0.040000000000020464,-0.18008229137539872,0.0626373187392962,0.19066479844444853,28.30188679245277
N,,14199,70.995,0.9699999999999989,0.5300000000000011,0.4399999999999977,-0.1150000000000091,0.6890105061319023,-0.18008229137539872,0.7121552564063219,15.463917525773214
